src|alt|url
wear-your-mask.gif|A white blinkie with a border of red and green dots. The text reads, "Wear. Your. Mask"|https://keysklubhouse.com/goodies/blinkies
triggers.gif|A black blinkie with a dark blue border of yellow and blue dots. The background has several warning icons and the text reads, "Don't share your triggers publicly oh my god!"|https://bedazzling-blinkiez.tumblr.com/post/699202538905436160/
stop-smoking.gif|A blinkie with a border of red and white dots. There is a cigarette in the background and text that reads, "Please stop smoking" followed by a black skull|https://keysklubhouse.com/goodies/blinkies
respect.gif|A pastel green blinkie with a border of black and white dots. There are flowers on both ends of the blinkie and text that reads, "respect others"|
practice-safe-sex.gif|A dark red blinkie with a white border of red and grey dots. There is an image of a condom and text that reads, "Practice safe sex"|
equality.gif|A blinkie with a purple gradient and a border of black, pink, and white dots. The text is in between the feminine and masculine insignias and reads "Demand EQUALITY"|https://yupthatsme.neocities.org/blinkies
drink-water.gif|A turquoise blinkie with a border of black and white dots. The text is surrounded by water bottles and reads, "Drink Water"|https://awnowimsad.tumblr.com/post/694670498301444096
dowhatmakesyouhappy.gif|A pastel yellow blinkie with various birds. There is rainbow text that reads in all capital letters, "Do what makes you happy"|https://squirrelspace.tumblr.com/post/708852825415909376
abortionrights.gif|A pink blinkie with red text that reads, "You can't ban abortion. You can only ban SAFE abortions"|https://keysklubhouse.com/goodies/blinkies
chiikawa.gif|Chiikawa with white text next to it that says, "Chiikawa!"|
grizz-fan.gif|A purple blinkie with a multi-colored border of pink and purple dots. There is an image of Mr. Grizz from the Splatoon franchise on the side and text that reads, "Grizz fan"|https://cephalonheadquarters.tumblr.com/post/722336705743650816
i-like-fish.gif|A blinkie with a border of cyan dots. The background is an underwater setting with various aquatic plants and text that reads, "I like fish"|https://cephalonheadquarters.tumblr.com/post/722336705743650816
vaccinated.gif|A black blinkie with a border of red and white dots. There are green pixel hearts and text that reads, "Vaccinated"|https://deviantart.com/view/802778949
typos.gif|A black blinkie with a white border of black dots. The text reads, "Typos who needs bakspase!" with the last word being "backspace" but mispelled. The cursor then deletes the word "bakspase".|
too-much-water.gif|A blinkie with a water tiles from Pokemon Ruby, Sapphire, and Emerald as the background. The text reads, "7.8/10 too much water" as a reference to an infamous IGN review|https://awnowimsad.tumblr.com/post/704073899883773952
team-power.gif|A red blinkie with a dark red border of red and white dots. There is artwork of Din's crest to represent the Triforce of Power from the May 2023 Splatfest in Splatoon 3 to celebrate the release of The Legend of Zelda: Tears of the Kingdom. The text is outlined in a pale pink glow and reads, "Team Power!"|https://implalazz.tumblr.com/tagged/splatfest
squinting.gif|A dark grey blinkie with a black border of red and white dots. The text reads, "Even though this is just a stupid blinky, you are still squinting to read it"|
silly-star.gif|A purple and indigo gradient blinkie with many colorful stars and sparkles. There is a smiling rainbow star on one end of the blinkie and text that reads in capital letters, "Silly!!"|https://pawpr1nc3.tumblr.com/post/701370517578563584
science-827414222.gif|A dark green blinkie with a border of green dots. There are two flasks filled with green liquid on both ends of the blinkie with text that reads in capital letters, "Science!"|https://deviantart.com/view/827414222
rewind-889829725.gif|A black blinkie with a border of yellow and white dots. There is an image of a VHS tape and text that alternates between yellow and white that reads, "be kind...REWIND!"|https://deviantart.com/view/889829725
pluto.gif|A brown and tan gradient blinkie with a border of white dots. There is an image of the planet Pluto and text that reads, "I believe in you, Pluto"|
perish.gif|A red blinkie with a border of black and red dots. There is an image of former President Obama's eyes glowing with malicious intent and text that reads in capital letters, "Then perish"|
ohworm.gif|A white blinkie with a blue border of white dots. There is an image of a colorful plush worm crawling and rainbow text that reads, "Oh worm"|
nya.gif|A pastel orange blinkie with a brown border of black and white dots. There are pixel cats on both ends of the blinkie and text that reads in capital letters, "Y'know like...nya?"|
nap.gif|A white blinkie with a border of purple, blue, and orange dots. The text's color alternates between purple, blue, and orange and reads, "When in doubt, take a nap!"|
mysteryskulls.gif|A dark purple blinkie with a colored border that alternates between pink, red, yellow, and blue. There is an animated image of the Mystery Skulls team from the Mystery Skulls Animated series walking on one end of the blinkie and text that reads in capital letters, "Mystery Skulls"|https://n0ikado.tumblr.com/post/709015619702489088
mad-scientist.gif|A neon pink blinkie with a mint green clouds on both ends of the blinkie. There is an image of a scientist obscured in black save for their swirling glasses and large grin. The text reads in capital letters, "Mad scientist"|https://muchomago.tumblr.com/post/696312717347291136
isupportdrawinginclass.gif|A white blinkie with a grey and white gradient border of red and white dots. There is an image of a pencil and text that reads, "I support drawing in class"|
inigo_montoya.gif|A dark puple blinkie with a purple border of white dots. There is an image of Inigo Montoya from the movie "Princess Bridge" and pastel yellow text that reads, "You killed my father. Prepare to die!"|
i-love-pink.gif|A pink blinkie with a dark pink border of black and white dots. There are pixel hearts surrounding white text that reads, "Pink! I love pink!" The word "love" is replaced by a blinking pixel heart|
hugs.gif|A pastel red blinkie with a red border of pink and green dots. There is an image of smilies in various colors hugging each other, and text that reads, "Hugs...not drugs"|
gotta-go-fast.gif|A green-striped blinkie that has a black border with red and white dots. There is an image of Sonic the Hedgehog on the side and text that reads in capital letters, "Gotta go fast!"|https://mechaengineer.tumblr.com/post/688533359135227904
goldfishin.gif|A blue blinkie that has an orange border with black and white dots. There is a pixel image of a Goldfish cracker and text that reads, "Gone GOLD fishin'!"|
ghostbusters.gif|A black blinkie with a border of white and red dots based on the movie "Ghostbusters". There is an image of the Ghostbusters' logo and text that reads "Ghostbusters"|
gdikris.gif|A blinkie with Kris and Suzie from Deltarune that has a border of white dots. Suzie is gesturing at Kris and the text between them reads "god dammit kris where the hell are we"|
enjoy-life.gif|A pastel yellow blinkie that has a border with black and orange dots. The text is surrounded by daisies and reads, "Enjoy life to its fullest"|
donteatcrayons.gif|A pastel pink blinkie that has a border with pastel pink and dark pink dots. The text reads, "don't eat crayons" with an image of a pink crayon on the side|https://raining-starss.neocities.org/stampcollection
dialup.gif|A pastel green blinkie that has a black border with green and yellow dots. The text reads "Dial-Up SUCKS!". On the side is an image of two computers connected to a telephone|
coolbeans.gif|A pastel yellow blinkie that has a pink border with pink and blue dots. The text is surrounded by pink and blue jellybeans and reads, "Cool beans"|https://raining-starss.neocities.org/stampcollection
coffee.gif|An orange blinkie that has a black border with orange and white dots. There is an image of a white mug of coffee and text that reads, "I NEED coffee!". The word "need" has a blinking glow affect around it|
cecilsweep.gif|A blinkie with an orange and purple gradient background and a border with white, black, and red dots, with purple text that reads in all capital letters, "I voted" in reference to the official Tumblr Sexyman Tournament. The image on the left side is a golden crown with the Tumblr logo and the image on the left side is a blinking purple eye. Clicking on the blinkie leads to the source|https://planetbass.tumblr.com/post/707820807423967232/
caddicarus.gif|A purple blinkie with a border of white and pink dots and text reads in capital letters, "Caddicarus" and an image of Jim Caddick on the side|https://aloftmelevar.com/mels-place/webgraphics
back-to-the-future.gif|A blinkie with an orange dashed border, based on the movie "Back to the Future". The text has the movie's logo, and there is an image of Marty McFly on the left side|
artist.gif|A black blinkie with a red and white dashed border with rainbow text that reads in capital letters, "Artist". The text is surrounded by a comedy mask, an artist's palette, some rainbow paint splatters, and two white music notes|
antique.gif|A black blinkie with a white dashed border and white text that reads, "I love antiques", with "love" being replaced with a pink heart|
404.gif|A white blinkie with a black border with white and red dots. The text reads "ERROR 404 Blinkie not found"|
